id_,coneduc,conpress,conlegis,conarmy,unemp,owngun,fefam,poleff11,gunlaw,cappun,hrs1,wrkgovt,marital,degree,incom16,partyid,natfare,natarmsy,pres16
1257,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,Not applicable,Not applicable,Never married,High school,Average,Not str democrat,Too much,Not applicable,Not applicable
1258,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly agree,Not applicable,Oppose,Oppose,30,Government,Widowed,High school,Below average,Not str democrat,Not applicable,Too little,Not applicable
1259,Only some,Hardly any,Only some,A great deal,No,No,Not applicable,Agree,Favor,Favor,22,Private,Never married,High school,Average,"Ind,near dem",Too little,Not applicable,Trump
1260,Hardly any,Only some,Hardly any,Hardly any,No,Not applicable,Strongly disagree,Strongly agree,Not applicable,Oppose,75,Private,Married,Bachelor,Far above average,Strong democrat,Not applicable,Too much,Clinton
1261,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,40,Private,Never married,Bachelor,Above average,Strong democrat,Too little,Not applicable,Clinton
1262,Only some,Only some,Hardly any,A great deal,No,Not applicable,Agree,Not applicable,Not applicable,Favor,Not applicable,Government,Widowed,High school,Average,Not str democrat,About right,Not applicable,Clinton
1263,Only some,Only some,Only some,Only some,Yes,No,Not applicable,Disagree,Favor,Oppose,40,Government,Married,Bachelor,Above average,Strong democrat,Too little,Not applicable,Clinton
1264,A great deal,A great deal,Only some,Only some,No,No,Not applicable,Disagree,Favor,Oppose,Not applicable,Private,Married,Bachelor,Average,Strong democrat,Not applicable,About right,Clinton
1265,A great deal,Hardly any,Hardly any,A great deal,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Oppose,45,Private,Never married,Bachelor,Below average,Independent,About right,Not applicable,Other candidate (specify)
1266,Only some,Only some,Only some,Only some,Yes,Not applicable,Disagree,Neither agree nor disagree,Not applicable,Favor,45,Private,Never married,Bachelor,Average,"Ind,near dem",Not applicable,About right,Clinton
1267,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,35,Government,Divorced,Junior college,Average,Independent,Too much,Not applicable,Not applicable
1268,A great deal,Hardly any,Hardly any,A great deal,No,Not applicable,Strongly agree,Not applicable,Not applicable,Oppose,Not applicable,Private,Widowed,Lt high school,Don't know,Independent,Too much,Not applicable,Not applicable
1269,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,60,Private,Never married,Junior college,Average,Strong democrat,Not applicable,Too much,Clinton
1270,Only some,Only some,Only some,Only some,Yes,Not applicable,Strongly disagree,Not applicable,Not applicable,Favor,Not applicable,Private,Never married,Junior college,Average,Not str democrat,Too little,Not applicable,Not applicable
1271,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Oppose,Not applicable,Government,Divorced,Junior college,Average,"Ind,near rep",Not applicable,Too much,Trump
1272,Only some,Hardly any,Hardly any,A great deal,Yes,Yes,Not applicable,Agree,Oppose,Favor,20,Private,Separated,High school,Below average,Strong republican,About right,Not applicable,Not applicable
1273,A great deal,Hardly any,Hardly any,A great deal,No,Yes,Not applicable,Strongly agree,Favor,Oppose,40,Don't know,Never married,High school,Average,"Ind,near dem",Not applicable,About right,Didn't vote for president
1274,Only some,Only some,Hardly any,A great deal,Yes,Not applicable,Disagree,Not applicable,Not applicable,Favor,45,Private,Divorced,High school,Average,Independent,Too much,Not applicable,Trump
1275,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Don't know,Oppose,55,Private,Never married,Bachelor,Average,Not str democrat,Not applicable,About right,Clinton
1276,Only some,Only some,Only some,Only some,Yes,Not applicable,Disagree,Neither agree nor disagree,Not applicable,Oppose,Not applicable,Government,Never married,Lt high school,Below average,Strong democrat,Not applicable,About right,Not applicable
1277,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Favor,32,Private,Widowed,Lt high school,Below average,Strong democrat,Too little,Not applicable,Not applicable
1278,Only some,A great deal,Hardly any,Only some,No,No,Not applicable,Disagree,Favor,Oppose,Not applicable,Private,Married,Graduate,Above average,Strong democrat,Not applicable,Too much,Clinton
1279,A great deal,Only some,Only some,Only some,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Don't know,38,Private,Never married,Bachelor,Above average,Strong democrat,Don't know,Not applicable,Not applicable
1280,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Oppose,Oppose,50,Private,Never married,High school,Below average,Independent,Not applicable,No answer,Not applicable
1281,A great deal,Hardly any,Only some,Only some,Yes,Yes,Not applicable,Agree,Favor,Don't know,36,Private,Married,Bachelor,Below average,Not str democrat,Too much,Not applicable,Clinton
