id_,coneduc,conpress,conlegis,conarmy,unemp,owngun,fefam,poleff11,gunlaw,cappun,hrs1,wrkgovt,marital,degree,incom16,partyid,natfare,natarmsy,pres16
1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,Not applicable,Private,Never married,Junior college,Below average,Not str republican,About right,Not applicable,Trump
2,A great deal,A great deal,A great deal,A great deal,No,No,Not applicable,Disagree,Favor,Oppose,Not applicable,Private,Separated,High school,Far below average,"Ind,near dem",Not applicable,Too little,Trump
3,Only some,Hardly any,Hardly any,Only some,No,Not applicable,Disagree,Not applicable,Not applicable,Favor,40,Private,Married,Bachelor,Above average,"Ind,near rep",Too little,Not applicable,Trump
4,Hardly any,Hardly any,Hardly any,A great deal,No,Not applicable,Disagree,Agree,Not applicable,Oppose,40,Private,Married,Bachelor,Above average,"Ind,near dem",Not applicable,Too much,Don't know
5,Only some,Hardly any,Hardly any,A great deal,No,Yes,Not applicable,Disagree,Favor,Oppose,Not applicable,Private,Divorced,Graduate,Below average,Strong republican,Not applicable,Too little,Trump
6,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Favor,Not applicable,Private,Widowed,Bachelor,Average,"Ind,near dem",Not applicable,About right,Clinton
7,A great deal,Only some,Hardly any,Only some,No,No,Not applicable,Agree,Favor,Favor,35,Government,Divorced,High school,Average,Strong democrat,Not applicable,Too little,Clinton
8,Hardly any,Hardly any,Only some,A great deal,No,No,Not applicable,Disagree,Favor,Favor,89,Private,Never married,High school,Far below average,Not str republican,Too much,Not applicable,Trump
9,Hardly any,Only some,Hardly any,A great deal,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Favor,40,Private,Widowed,Lt high school,Far below average,Independent,Too little,Not applicable,Not applicable
10,Only some,Only some,Only some,A great deal,Yes,Not applicable,Disagree,Neither agree nor disagree,Not applicable,Favor,40,Private,Married,High school,Average,Not str democrat,Not applicable,About right,Trump
11,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Strongly disagree,Not applicable,Favor,Favor,40,Private,Divorced,Graduate,Above average,Strong republican,Not applicable,About right,Trump
12,Only some,Hardly any,Only some,A great deal,Yes,Not applicable,Disagree,Agree,Not applicable,Favor,20,Private,Separated,High school,Average,Not str democrat,Not applicable,Too much,Clinton
13,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,Not applicable,Government,Divorced,High school,Above average,Not str democrat,Too little,Not applicable,Not applicable
14,Only some,Only some,Only some,Only some,No,No,Not applicable,Strongly agree,Favor,Favor,40,Private,Married,Bachelor,Far below average,Strong democrat,Not applicable,Too much,Not applicable
15,A great deal,Only some,Only some,A great deal,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Favor,Not applicable,Private,Never married,High school,Below average,"Ind,near rep",About right,Not applicable,Not applicable
16,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,19,Private,Widowed,High school,Average,Independent,Not applicable,Don't know,Not applicable
17,Only some,Only some,Hardly any,Only some,Yes,Not applicable,Strongly disagree,Agree,Not applicable,Oppose,Not applicable,Private,Married,Bachelor,Below average,"Ind,near dem",Not applicable,Too much,Clinton
18,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Oppose,Not applicable,Not applicable,Married,Bachelor,Below average,Independent,Don't know,Not applicable,Not applicable
19,A great deal,Only some,Only some,Only some,Yes,No,Not applicable,Neither agree nor disagree,Favor,Favor,40,Government,Divorced,Graduate,Above average,Not str democrat,About right,Not applicable,Clinton
20,Only some,Only some,Only some,A great deal,No,Not applicable,Strongly disagree,Agree,Not applicable,Favor,40,Private,Never married,Graduate,Below average,"Ind,near rep",Not applicable,Don't know,Trump
21,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,42,Government,Married,High school,Below average,Not str republican,Too little,Not applicable,Not applicable
22,Only some,Only some,Only some,Don't know,No,No,Not applicable,Disagree,Favor,No answer,Not applicable,Not applicable,Never married,Junior college,Average,Not str republican,Not applicable,Don't know,Trump
23,Only some,A great deal,Only some,Only some,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Favor,32,Private,Married,Junior college,Above average,"Ind,near dem",About right,Not applicable,Clinton
24,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Strongly disagree,Not applicable,Favor,Favor,50,Private,Never married,High school,Average,Strong democrat,Not applicable,Too much,Clinton
25,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Oppose,Oppose,15,Private,Married,Bachelor,Average,Not str republican,Too much,Not applicable,Trump
26,A great deal,Only some,Only some,A great deal,No,No,Not applicable,Agree,Favor,Favor,Not applicable,Private,Widowed,Lt high school,Average,Not str republican,About right,Not applicable,No answer
27,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,33,Private,Divorced,High school,Average,Not str democrat,Too much,Not applicable,Trump
28,Only some,Only some,Hardly any,Only some,No,No,Not applicable,Neither agree nor disagree,Oppose,Favor,Not applicable,Not applicable,Never married,Lt high school,Average,Not str democrat,Not applicable,Too little,Clinton
29,A great deal,Only some,A great deal,A great deal,Yes,Not applicable,Agree,Not applicable,Not applicable,Favor,Not applicable,Private,Divorced,High school,Far below average,Strong republican,Too little,Not applicable,Don't know
30,Only some,A great deal,A great deal,A great deal,No,No,Not applicable,Neither agree nor disagree,Favor,Oppose,40,Private,Never married,High school,Above average,"Ind,near rep",About right,Not applicable,Not applicable
31,Hardly any,Hardly any,Hardly any,A great deal,No,Not applicable,Disagree,Agree,Not applicable,Favor,Not applicable,Private,Married,High school,Below average,"Ind,near rep",Not applicable,Too little,Trump
32,A great deal,A great deal,Hardly any,A great deal,No,No,Not applicable,Disagree,Favor,Oppose,Not applicable,Private,Married,Lt high school,Above average,Strong republican,Not applicable,About right,Don't know
33,Only some,Only some,Hardly any,Only some,Yes,Not applicable,Strongly disagree,Not applicable,Not applicable,Oppose,Not applicable,Private,Married,Bachelor,Average,Independent,About right,Not applicable,Clinton
34,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Oppose,Oppose,46,Private,Divorced,Bachelor,Below average,Not str democrat,Too little,Not applicable,Clinton
35,A great deal,Only some,Hardly any,Only some,No,Not applicable,Agree,Not applicable,Not applicable,No answer,16,Don't know,Divorced,Lt high school,Average,"Ind,near dem",Too little,Not applicable,Clinton
36,Only some,Hardly any,Hardly any,A great deal,Yes,No,Not applicable,Agree,Oppose,Favor,40,Private,Married,Graduate,Average,Strong republican,About right,Not applicable,Trump
37,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,20,Private,Widowed,Graduate,Below average,Strong democrat,About right,Not applicable,Clinton
38,Only some,A great deal,Hardly any,Hardly any,No,No,Not applicable,Disagree,Favor,Oppose,45,Government,Never married,Graduate,Below average,Strong democrat,Not applicable,Too much,Clinton
39,A great deal,Hardly any,Only some,A great deal,No,Not applicable,Disagree,Not applicable,Not applicable,Oppose,50,Private,Married,Graduate,Far below average,"Ind,near rep",About right,Not applicable,Not applicable
40,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Refused,Disagree,Not applicable,Favor,Favor,No answer,No answer,No answer,High school,Average,No answer,Not applicable,Too much,No answer
41,Only some,A great deal,Only some,Only some,Yes,Not applicable,Disagree,Disagree,Not applicable,Oppose,30,Private,Divorced,High school,Average,Strong democrat,Not applicable,Too much,Clinton
42,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,40,Private,Never married,High school,Far above average,Not str democrat,About right,Not applicable,Not applicable
43,Only some,Only some,Hardly any,Only some,No,Not applicable,Disagree,Agree,Not applicable,Favor,Not applicable,Private,Widowed,High school,Average,Strong democrat,Not applicable,Too little,Clinton
44,Only some,A great deal,Only some,A great deal,No,No,Not applicable,Disagree,Favor,Oppose,Not applicable,Private,Married,Graduate,Above average,Strong democrat,Not applicable,Too much,Clinton
45,Only some,Only some,Only some,A great deal,Yes,No,Not applicable,Disagree,Favor,Oppose,Not applicable,Private,Divorced,Bachelor,Average,"Ind,near dem",Too much,Not applicable,Clinton
46,Only some,Hardly any,Hardly any,A great deal,Yes,Not applicable,Disagree,Neither agree nor disagree,Not applicable,Oppose,25,Private,Widowed,High school,Average,Not str democrat,Not applicable,Too much,Clinton
47,A great deal,Only some,A great deal,A great deal,No,Not applicable,Disagree,Not applicable,Not applicable,Oppose,20,Private,Married,Graduate,Above average,Not str democrat,About right,Not applicable,Not applicable
48,Only some,A great deal,Only some,A great deal,No,Not applicable,Strongly disagree,Disagree,Not applicable,Favor,Not applicable,Private,Married,Graduate,Below average,Not str democrat,Not applicable,About right,Clinton
49,A great deal,Hardly any,Hardly any,A great deal,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Favor,Not applicable,Private,Divorced,Bachelor,Above average,Not str republican,Too much,Not applicable,Trump
50,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Oppose,Not applicable,Private,Divorced,Bachelor,Above average,"Ind,near dem",Not applicable,About right,Clinton
51,Only some,Hardly any,Only some,A great deal,No,No,Not applicable,Disagree,Favor,Oppose,30,Private,Never married,High school,Average,Independent,Too much,Not applicable,Not applicable
52,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Don't know,40,Private,Separated,High school,Average,Not str democrat,About right,Not applicable,Clinton
53,Hardly any,Hardly any,Only some,A great deal,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Favor,55,Private,Divorced,Graduate,Far below average,Independent,Too much,Not applicable,Not applicable
54,A great deal,Only some,Don't know,A great deal,Yes,No,Not applicable,Agree,Favor,Don't know,Not applicable,Private,Married,Graduate,Average,Independent,Too little,Not applicable,Not applicable
55,Only some,Only some,Only some,A great deal,No,Not applicable,Disagree,Disagree,Not applicable,Oppose,40,Private,Married,Bachelor,Average,Independent,Not applicable,Too much,Trump
56,Only some,Hardly any,Only some,Only some,No,No,Not applicable,Agree,Favor,Favor,40,Government,Divorced,Bachelor,Below average,Not str republican,Not applicable,About right,Trump
57,Only some,Only some,Hardly any,Only some,No,Not applicable,Disagree,Not applicable,Not applicable,Oppose,Not applicable,Private,Married,Bachelor,Above average,Independent,About right,Not applicable,Clinton
58,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Favor,Not applicable,Private,Never married,High school,Don't know,"Ind,near dem",Don't know,Not applicable,No answer
59,A great deal,A great deal,A great deal,A great deal,Yes,No,Not applicable,Disagree,Oppose,Oppose,35,Private,Never married,Lt high school,Average,Not str democrat,Not applicable,About right,Not applicable
60,Hardly any,Only some,Hardly any,Only some,Yes,Not applicable,Agree,Strongly agree,Not applicable,Oppose,29,Private,Separated,High school,Below average,Not str democrat,Not applicable,Too much,Not applicable
61,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,Not applicable,Private,Married,High school,Below average,Strong democrat,Too much,Not applicable,Not applicable
62,Hardly any,Hardly any,Hardly any,A great deal,Yes,Not applicable,Agree,Not applicable,Not applicable,Oppose,25,Private,Married,Lt high school,Average,Strong democrat,Too little,Not applicable,Clinton
63,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,35,Private,Never married,Bachelor,Average,Strong democrat,Too much,Not applicable,Clinton
64,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Favor,Not applicable,Private,Widowed,High school,Below average,Strong democrat,Not applicable,Too little,Clinton
65,Hardly any,Hardly any,Only some,A great deal,No,Not applicable,Disagree,Disagree,Not applicable,Oppose,Not applicable,No answer,Never married,Lt high school,Average,"Ind,near rep",Not applicable,Too little,Not applicable
66,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly agree,Not applicable,Favor,Oppose,Not applicable,Government,Divorced,Graduate,Below average,"Ind,near dem",Too little,Not applicable,Clinton
67,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,45,Government,Married,High school,Below average,Not str democrat,Not applicable,About right,Not applicable
68,A great deal,Hardly any,Hardly any,Only some,No,No,Not applicable,Agree,Favor,Oppose,Not applicable,Government,Separated,High school,Average,Strong democrat,Not applicable,About right,Clinton
69,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Oppose,55,Private,Never married,Graduate,Above average,Strong democrat,Too much,Not applicable,Clinton
70,A great deal,Hardly any,Hardly any,Only some,Yes,Not applicable,Agree,Not applicable,Not applicable,Oppose,Not applicable,Government,Married,Bachelor,Below average,Not str democrat,Too little,Not applicable,Not applicable
71,A great deal,Hardly any,A great deal,A great deal,No,Not applicable,Disagree,Disagree,Not applicable,Favor,Not applicable,Not applicable,Never married,High school,Far above average,Strong democrat,Not applicable,About right,Clinton
72,Only some,Hardly any,Hardly any,Only some,No,Not applicable,Disagree,Agree,Not applicable,Don't know,75,Private,Married,Junior college,Average,Strong democrat,Not applicable,About right,Not applicable
73,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Favor,Not applicable,Private,Married,Bachelor,Average,Independent,Don't know,Not applicable,Not applicable
74,Only some,A great deal,Hardly any,A great deal,Yes,No,Not applicable,Disagree,Favor,Oppose,45,Private,Married,Graduate,Below average,Not str democrat,About right,Not applicable,Clinton
75,A great deal,A great deal,Only some,A great deal,No,No,Not applicable,Strongly disagree,Favor,Oppose,35,Private,Never married,High school,Average,Other party,Not applicable,Too much,Not applicable
76,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Favor,32,Private,Never married,Junior college,Far below average,Independent,Not applicable,About right,Clinton
77,Only some,Only some,Only some,Only some,No,No,Not applicable,Disagree,Favor,Favor,50,Private,Married,Bachelor,Average,Independent,About right,Not applicable,Not applicable
78,A great deal,Don't know,Only some,Don't know,No,Not applicable,Agree,Neither agree nor disagree,Not applicable,Don't know,Not applicable,Government,Widowed,Lt high school,Far below average,Independent,Not applicable,About right,No answer
79,Only some,Only some,Only some,A great deal,No,Refused,Not applicable,Cant choose,Favor,Favor,Not applicable,Private,Married,Junior college,Average,Independent,Not applicable,Too little,No answer
80,No answer,No answer,No answer,No answer,No answer,Not applicable,Disagree,Cant choose,Not applicable,No answer,No answer,No answer,Married,Lt high school,No answer,No answer,Not applicable,No answer,No answer
81,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Oppose,Not applicable,Private,Married,Bachelor,Below average,"Ind,near dem",Too little,Not applicable,Clinton
82,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,40,Private,Married,High school,Average,Not str democrat,Don't know,Not applicable,Clinton
83,Only some,Only some,Only some,Only some,Yes,Not applicable,Disagree,Not applicable,Not applicable,Oppose,40,Private,Divorced,High school,Far below average,Not str democrat,Too much,Not applicable,Not applicable
84,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Oppose,40,Private,Married,High school,Average,Not str democrat,Not applicable,Too much,Clinton
85,Only some,Hardly any,Only some,A great deal,Yes,Yes,Not applicable,Disagree,Favor,Favor,20,Private,Separated,High school,Below average,Not str republican,Not applicable,Too little,Clinton
86,Only some,Only some,No answer,No answer,Yes,Not applicable,Strongly disagree,Not applicable,Not applicable,Oppose,42,Government,Never married,Bachelor,Below average,Not str democrat,About right,Not applicable,Clinton
87,Only some,Only some,Only some,Only some,No,Not applicable,Agree,Disagree,Not applicable,Oppose,40,Private,Never married,High school,Far below average,Strong democrat,Not applicable,Too little,Clinton
88,Only some,A great deal,Only some,A great deal,No,No,Not applicable,Neither agree nor disagree,Oppose,Oppose,Not applicable,Private,Married,High school,Above average,Strong democrat,Too little,Not applicable,Clinton
89,A great deal,A great deal,Hardly any,Only some,No,Not applicable,Strongly disagree,Disagree,Not applicable,Favor,35,Government,Married,Graduate,Above average,Strong democrat,Not applicable,Too much,Clinton
90,Only some,A great deal,Hardly any,Hardly any,Yes,Not applicable,Agree,Not applicable,Not applicable,Favor,35,Private,Never married,Graduate,Average,Not str democrat,Too little,Not applicable,Other candidate (specify)
91,Hardly any,Hardly any,Hardly any,Only some,No,Not applicable,Disagree,Strongly agree,Not applicable,Favor,Not applicable,Government,Never married,Graduate,Above average,"Ind,near dem",Not applicable,About right,Clinton
92,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Oppose,3,Don't know,Married,Graduate,Above average,Strong democrat,Too little,Not applicable,Clinton
93,A great deal,Only some,Only some,A great deal,Yes,Not applicable,Strongly disagree,Neither agree nor disagree,Not applicable,Oppose,30,Private,Never married,Graduate,Above average,Independent,Not applicable,About right,Not applicable
94,Only some,Only some,Only some,A great deal,No,Not applicable,Disagree,Not applicable,Not applicable,Favor,Not applicable,Private,Widowed,Lt high school,No answer,"Ind,near dem",About right,Not applicable,Not applicable
95,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Strongly disagree,Not applicable,Favor,Oppose,40,Private,Never married,Bachelor,Average,"Ind,near dem",Not applicable,About right,Clinton
96,Only some,A great deal,Only some,A great deal,Yes,Don't know,Not applicable,Agree,Favor,Favor,30,Private,Never married,High school,Above average,Not str democrat,Not applicable,About right,Not applicable
97,Only some,Hardly any,Hardly any,Only some,No,No,Not applicable,Disagree,Favor,Oppose,Not applicable,Government,Married,High school,Below average,Strong democrat,Too little,Not applicable,Clinton
98,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Favor,Not applicable,Government,Separated,Bachelor,Average,Strong democrat,About right,Not applicable,Clinton
99,A great deal,A great deal,A great deal,A great deal,No,No,Not applicable,Cant choose,No answer,Oppose,Not applicable,Not applicable,Married,High school,Below average,Not str democrat,Not applicable,About right,Clinton
100,Only some,Don't know,Don't know,A great deal,Yes,No,Not applicable,Strongly disagree,Favor,Favor,Not applicable,Private,Widowed,Lt high school,Average,"Ind,near rep",Don't know,Not applicable,Not applicable
101,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Oppose,Oppose,40,Private,Divorced,Lt high school,Average,"Ind,near rep",Not applicable,Too little,Trump
102,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Favor,Not applicable,Government,Divorced,High school,Below average,Not str democrat,About right,Not applicable,Not applicable
103,A great deal,Only some,Hardly any,A great deal,Yes,No,Not applicable,Strongly disagree,Favor,Oppose,40,Private,Married,Graduate,Above average,"Ind,near dem",Not applicable,About right,Clinton
104,Hardly any,Hardly any,Only some,A great deal,No,No,Not applicable,Disagree,Favor,Favor,Not applicable,Private,Married,High school,Average,"Ind,near rep",Too much,Not applicable,Trump
105,Hardly any,Only some,Hardly any,Only some,Yes,Not applicable,Strongly disagree,Disagree,Not applicable,Oppose,Not applicable,Private,Never married,Graduate,Below average,Strong democrat,Not applicable,Too much,Clinton
106,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Oppose,Oppose,40,Private,Never married,High school,Below average,"Ind,near rep",Too much,Not applicable,Trump
107,Only some,Only some,Only some,A great deal,Yes,Not applicable,Agree,Disagree,Not applicable,Favor,64,Private,Never married,High school,Above average,Not str republican,Not applicable,Too little,Trump
108,Only some,Only some,Hardly any,A great deal,No,Not applicable,Disagree,Agree,Not applicable,Don't know,Not applicable,Private,Never married,High school,Below average,Independent,Not applicable,Too little,Not applicable
109,A great deal,Only some,Only some,A great deal,No,No,Not applicable,Disagree,Favor,No answer,30,Private,Married,Bachelor,Above average,Independent,Too little,Not applicable,Not applicable
110,Only some,Only some,Only some,A great deal,No,Not applicable,Disagree,Disagree,Not applicable,No answer,Not applicable,Private,Married,Junior college,Average,Independent,Not applicable,Too little,Clinton
111,Only some,Hardly any,Hardly any,Only some,No,Yes,Not applicable,Neither agree nor disagree,Favor,Favor,36,Private,Divorced,Junior college,Below average,Strong democrat,Not applicable,About right,Clinton
112,A great deal,Hardly any,Only some,Only some,No,Not applicable,Agree,Not applicable,Not applicable,Favor,28,Private,Married,High school,Average,Not str democrat,Too little,Not applicable,Not applicable
113,Only some,A great deal,Hardly any,Only some,Yes,Not applicable,Strongly disagree,Neither agree nor disagree,Not applicable,Oppose,Not applicable,Private,Never married,Junior college,Above average,Strong democrat,Not applicable,Too much,Not applicable
114,Hardly any,Only some,Hardly any,Don't know,No,Not applicable,Disagree,Not applicable,Not applicable,Favor,Not applicable,Private,Divorced,High school,Above average,Not str democrat,Too little,Not applicable,Clinton
115,Only some,A great deal,Hardly any,Only some,Yes,Not applicable,Disagree,Strongly disagree,Not applicable,Oppose,40,Private,Married,Bachelor,Average,Not str democrat,Not applicable,Too much,Clinton
116,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Favor,40,Private,Married,Bachelor,Average,Other party,About right,Not applicable,Trump
117,Only some,A great deal,Hardly any,Only some,No,Not applicable,Disagree,Agree,Not applicable,Favor,Not applicable,Private,Married,Lt high school,Below average,Not str democrat,Not applicable,Too little,Clinton
118,Only some,Only some,Only some,Only some,No,Yes,Not applicable,Agree,Favor,Favor,Not applicable,Private,Married,Junior college,Below average,Independent,Too little,Not applicable,Clinton
119,Only some,Hardly any,Only some,A great deal,No,No,Not applicable,Disagree,Favor,Favor,16,Private,Married,High school,Below average,Not str republican,Not applicable,Too much,Not applicable
120,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,40,Private,Never married,High school,Average,"Ind,near rep",Not applicable,About right,Trump
121,Only some,Hardly any,Only some,Only some,No,Yes,Not applicable,Strongly agree,Favor,Favor,Not applicable,Private,Married,High school,Average,"Ind,near rep",Too much,Not applicable,Not applicable
122,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Oppose,Favor,40,Private,Married,High school,Below average,Independent,Too much,Not applicable,Not applicable
123,Only some,A great deal,Hardly any,A great deal,Yes,No,Not applicable,Disagree,Favor,Oppose,12,Private,Widowed,Bachelor,Below average,Strong democrat,Not applicable,Too much,Clinton
124,Only some,Only some,Only some,Hardly any,No,No,Not applicable,Neither agree nor disagree,Oppose,Favor,30,Government,Married,Bachelor,Above average,"Ind,near dem",About right,Not applicable,Clinton
125,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Favor,30,Private,Never married,Bachelor,Average,Strong democrat,Too little,Not applicable,Clinton
126,Hardly any,Only some,Only some,Only some,No,Not applicable,Agree,Not applicable,Not applicable,Favor,40,Government,Never married,Graduate,Below average,Not str democrat,About right,Not applicable,Clinton
127,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Favor,40,Private,Married,Graduate,Below average,Strong republican,Not applicable,About right,Trump
128,Only some,Only some,Hardly any,Hardly any,No,No,Not applicable,Disagree,Favor,Favor,15,Private,Never married,Bachelor,Average,Not str democrat,Too little,Not applicable,Not applicable
129,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,50,Private,Married,Graduate,Average,Not str democrat,Not applicable,Too much,Clinton
130,Only some,Only some,Only some,Only some,No,No,Not applicable,Agree,Favor,Oppose,40,Private,Never married,Graduate,Above average,Strong democrat,Too little,Not applicable,Clinton
131,Only some,Hardly any,Only some,A great deal,No,Not applicable,Agree,Disagree,Not applicable,Oppose,Not applicable,Not applicable,Married,High school,Average,Independent,Not applicable,Too little,Not applicable
132,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,Not applicable,Private,Married,Graduate,Above average,Not str democrat,Too much,Not applicable,Not applicable
133,Only some,A great deal,Hardly any,A great deal,Yes,Not applicable,Disagree,Not applicable,Not applicable,Oppose,40,Private,Married,Bachelor,Average,Strong democrat,About right,Not applicable,Clinton
134,Only some,Only some,Hardly any,Only some,No,Yes,Not applicable,Strongly disagree,Favor,Oppose,40,Private,Married,High school,Above average,Strong democrat,Too little,Not applicable,Clinton
135,Hardly any,A great deal,Hardly any,A great deal,No,Not applicable,Strongly disagree,Agree,Not applicable,Oppose,55,Private,Married,High school,Below average,Strong democrat,Not applicable,Too much,Not applicable
136,A great deal,Only some,Hardly any,Only some,No,Not applicable,Strongly agree,Not applicable,Not applicable,Oppose,40,Government,Never married,High school,Average,Independent,Too much,Not applicable,Not applicable
137,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Oppose,Favor,Not applicable,Private,Never married,High school,Average,Independent,Not applicable,Too much,Not applicable
138,Hardly any,A great deal,Only some,Only some,No,No,Not applicable,Neither agree nor disagree,Oppose,Favor,55,Private,Married,Bachelor,Below average,Independent,Too little,Not applicable,Not applicable
139,Only some,Only some,Only some,Only some,No,Not applicable,Disagree,Disagree,Not applicable,Oppose,40,Private,Married,Lt high school,Average,"Ind,near dem",Not applicable,Too much,Not applicable
140,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,6,Government,Never married,High school,Average,"Ind,near rep",Too little,Not applicable,Not applicable
141,Hardly any,Hardly any,Hardly any,Only some,Yes,Yes,Not applicable,Agree,Favor,Favor,40,Government,Divorced,Junior college,Average,Strong republican,Too much,Not applicable,Trump
142,Hardly any,Only some,Hardly any,Don't know,Yes,Not applicable,Strongly disagree,Agree,Not applicable,Oppose,22,Private,Married,High school,Above average,Not str democrat,Not applicable,Too much,Clinton
143,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,Not applicable,Private,Divorced,Lt high school,Below average,Independent,Too much,Not applicable,Not applicable
144,Hardly any,Hardly any,Hardly any,Hardly any,Yes,Not applicable,Agree,Not applicable,Not applicable,Oppose,Not applicable,Not applicable,Never married,High school,Average,Independent,Too little,Not applicable,Not applicable
145,Only some,Only some,Only some,A great deal,Yes,Not applicable,Disagree,Agree,Not applicable,Favor,65,Private,Divorced,High school,Average,Strong democrat,Not applicable,Too much,Clinton
146,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Oppose,Favor,45,Private,Never married,High school,Average,"Ind,near rep",About right,Not applicable,Not applicable
147,Hardly any,Hardly any,Hardly any,Only some,Yes,Not applicable,Disagree,Not applicable,Not applicable,Oppose,Not applicable,Private,Never married,High school,Far below average,Not str democrat,Too little,Not applicable,Not applicable
148,Hardly any,Hardly any,Hardly any,Only some,Yes,Not applicable,Disagree,Neither agree nor disagree,Not applicable,Oppose,40,Government,Never married,Bachelor,Below average,Independent,Not applicable,About right,Clinton
149,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Agree,Not applicable,Favor,Favor,Not applicable,Private,Never married,High school,Above average,Independent,Too much,Not applicable,Not applicable
150,A great deal,Only some,Hardly any,Hardly any,No,Not applicable,Strongly disagree,Neither agree nor disagree,Not applicable,Oppose,40,Government,Separated,Graduate,Below average,Strong democrat,Not applicable,Too much,Clinton
151,Only some,Hardly any,Hardly any,Only some,No,Refused,Not applicable,Disagree,Favor,Oppose,40,Government,Never married,Graduate,Average,"Ind,near dem",Not applicable,About right,No answer
