Date,Percent Approve,Percent Disapprove,No Opinion,Trump
1996 Feb 23-25,53,40,7,Clinton
1996 Jan 26-29,52,42,6,Clinton
1996 Jan 12-15,46,47,7,Clinton
1996 Jan 5-7,42,49,9,Clinton
1995 Dec 15-18,51,44,5,Clinton
1995 Nov 17-18,53,38,9,Clinton
1995 Nov 6-8,52,41,7,Clinton
1995 Oct 19-22,49,40,11,Clinton
1995 Oct 5-7,46,42,12,Clinton
1995 Sep 22-24,48,44,8,Clinton
1995 Sep 14-17,44,44,12,Clinton
1995 Aug 28-30,46,43,11,Clinton
1995 Aug 11-14,46,44,10,Clinton
1995 Aug 4-7,46,42,12,Clinton
1995 Jul 20-23,46,44,10,Clinton
1995 Jul 7-9,48,42,10,Clinton
1995 Jun 5-6,47,42,11,Clinton
1995 May 11-14,51,42,7,Clinton
1995 Apr 21-24,51,39,10,Clinton
1995 Apr 17-19,46,45,9,Clinton
1995 Apr 5-6,47,45,8,Clinton
1995 Mar 27-29,44,47,9,Clinton
1995 Mar 17-19,46,45,9,Clinton
1995 Feb 24-26,42,48,10,Clinton
1995 Feb 3-5,49,44,7,Clinton
1995 Jan 16-18,47,45,8,Clinton
1994 Dec 28-30,40,52,8,Clinton
1994 Dec 16-18,42,53,5,Clinton
1994 Dec 2-5,42,50,8,Clinton
1994 Nov 28-29,43,49,8,Clinton
1994 Nov 2-6,46,46,8,Clinton
1994 Oct 22-25,48,46,6,Clinton
1994 Oct 18-19,41,52,7,Clinton
1994 Oct 7-9,42,52,6,Clinton
1994 Sep 23-25,44,51,5,Clinton
1994 Sep 16-18,42,50,8,Clinton
1994 Sep 6-7,39,54,7,Clinton
1994 Aug 15-16,39,52,9,Clinton
1994 Aug 8-9,43,48,9,Clinton
1994 Jul 15-17,42,49,9,Clinton
1994 Jul 1-3,43,48,9,Clinton
1994 Jun 25-28,44,47,9,Clinton
1994 Jun 11-12,49,44,7,Clinton
1994 Jun 3-6,46,47,7,Clinton
1994 May 20-22,51,42,7,Clinton
1994 Apr 22-24,48,44,8,Clinton
1994 Apr 16-18,51,41,8,Clinton
1994 Mar 28-30,51,42,7,Clinton
1994 Mar 25-27,52,41,7,Clinton
1994 Mar 11-13,50,41,9,Clinton
1994 Mar 7-8,50,42,8,Clinton
1994 Feb 26-28,53,41,6,Clinton
1994 Jan 28-30,58,35,7,Clinton
1994 Jan 15-17,54,38,8,Clinton
1994 Jan 6-8,54,38,8,Clinton
1993 Dec 17-19,54,40,6,Clinton
1993 Dec 4-6,52,38,10,Clinton
1993 Nov 19-21,48,43,9,Clinton
1993 Nov 15-16,50,43,7,Clinton
1993 Nov 2-4,48,45,7,Clinton
1993 Oct 28-30,48,45,7,Clinton
1993 Oct 13-18,47,44,9,Clinton
1993 Oct 8-10,50,42,8,Clinton
1993 Sep 24-26,56,36,8,Clinton
1993 Sep 13-15,46,43,11,Clinton
1993 Sep 10-12,47,42,11,Clinton
1993 Aug 23-25,44,47,9,Clinton
1993 Aug 8-10,44,48,8,Clinton
1993 Jul 19-21,41,49,10,Clinton
1993 Jul 9-11,45,48,7,Clinton
1993 Jun 29-30,46,47,7,Clinton
1993 Jun 18-21,39,50,11,Clinton
1993 Jun 5-6,37,49,14,Clinton
1993 May 21-23,44,46,10,Clinton
1993 May 10-12,45,44,11,Clinton
1993 Apr 22-24,55,37,8,Clinton
1993 Mar 29-31,52,37,11,Clinton
1993 Mar 12-14,53,34,13,Clinton
1993 Feb 26-28,59,29,12,Clinton
1993 Feb 12-14,51,34,15,Clinton
1993 Jan 29-31,54,30,16,Clinton
1993 Jan 24-26,58,20,22,Clinton
